Categoria do Produto,Filial,Nome do Produto,Preço do Produto (R$),Quantidade em Estoque,Data da Venda
Eletrodomésticos,Filial 7,Blush em pó,79.41,7,INDISPONIVEL
Eletrodomésticos,Filial 8,Lápis de sobrancelha,85.47,78,INDISPONIVEL
Roupas,Filial 8,Base líquida,75.02,34,INDISPONIVEL
Roupas,Filial 10,Base líquida,44.94,90,INDISPONIVEL
Alimentos,Filial 7,Lápis de sobrancelha,58.63,91,INDISPONIVEL
Roupas,Filial 7,Blush em pó,50.79,77,INDISPONIVEL
Eletrodomésticos,Filial 4,Corretivo,20.46,2,INDISPONIVEL
Roupas,Filial 9,Pó compacto,85.56,37,INDISPONIVEL
Roupas,Filial 8,Sombra de olhos,31.92,56,INDISPONIVEL
Alimentos,Filial 3,Delineador líquido,42.58,8,INDISPONIVEL
Eletrodomésticos,Filial 8,Corretivo,92.03,10,INDISPONIVEL
Roupas,Filial 8,Lápis de sobrancelha,91.01,95,INDISPONIVEL
Eletrônicos,Filial 7,Delineador líquido,40.01,85,INDISPONIVEL
Alimentos,Filial 4,Base líquida,37.56,90,INDISPONIVEL
Roupas,Filial 6,Blush em pó,9.93,82,INDISPONIVEL
Eletrônicos,Filial 2,Batom matte,80.34,42,INDISPONIVEL
Alimentos,Filial 7,Pó compacto,67.77,13,INDISPONIVEL
Roupas,Filial 3,Batom matte,94.63,20,INDISPONIVEL
Roupas,Filial 1,Corretivo,67.85,8,INDISPONIVEL
Eletrônicos,Filial 1,Sombra de olhos,54.05,8,INDISPONIVEL
Alimentos,Filial 8,Máscara de cílios,93.16,65,INDISPONIVEL
Roupas,Filial 9,Sombra de olhos,44.13,66,INDISPONIVEL
Roupas,Filial 6,Sombra de olhos,41.87,60,INDISPONIVEL
Eletrônicos,Filial 3,Lápis de sobrancelha,49.69,57,INDISPONIVEL
Alimentos,Filial 5,Lápis de sobrancelha,3.77,17,INDISPONIVEL
Eletrônicos,Filial 5,Máscara de cílios,37.85,36,INDISPONIVEL
Eletrônicos,Filial 5,Pó compacto,80.5,99,INDISPONIVEL
Eletrônicos,Filial 9,Base líquida,61.89,34,INDISPONIVEL
Eletrônicos,Filial 5,Lápis de sobrancelha,79.26,19,INDISPONIVEL
Alimentos,Filial 4,Pó compacto,72.19,100,INDISPONIVEL
Eletrodomésticos,Filial 9,Batom matte,22.05,56,INDISPONIVEL
Eletrodomésticos,Filial 7,Blush em pó,69.91,77,INDISPONIVEL
Eletrônicos,Filial 10,Pó compacto,60.83,18,INDISPONIVEL
Alimentos,Filial 5,Sombra de olhos,55.75,98,INDISPONIVEL
Eletrônicos,Filial 5,Sombra de olhos,22.32,53,INDISPONIVEL
Alimentos,Filial 2,Base líquida,60.37,35,INDISPONIVEL
Alimentos,Filial 9,Batom matte,15.07,78,INDISPONIVEL
Eletrônicos,Filial 4,Base líquida,67.92,63,INDISPONIVEL
Eletrônicos,Filial 3,Pó compacto,84.48,83,INDISPONIVEL
Eletrônicos,Filial 1,Corretivo,70.08,40,INDISPONIVEL
Roupas,Filial 9,Pó compacto,25.96,23,INDISPONIVEL
Alimentos,Filial 1,Batom matte,40.67,84,INDISPONIVEL
Alimentos,Filial 4,Sombra de olhos,83.64,74,INDISPONIVEL
Eletrodomésticos,Filial 1,Pó compacto,26.06,12,INDISPONIVEL
Eletrodomésticos,Filial 4,Sombra de olhos,58.83,51,INDISPONIVEL
Alimentos,Filial 5,Blush em pó,48.5,57,INDISPONIVEL
Roupas,Filial 5,Pó compacto,75.61,87,INDISPONIVEL
Eletrônicos,Filial 6,Máscara de cílios,62.89,20,INDISPONIVEL
Eletrodomésticos,Filial 6,Sombra de olhos,31.04,68,INDISPONIVEL
Eletrodomésticos,Filial 7,Máscara de cílios,34.19,63,INDISPONIVEL
Eletrodomésticos,Filial 9,Base líquida,78.59,48,INDISPONIVEL
Eletrodomésticos,Filial 6,Sombra de olhos,49.33,98,INDISPONIVEL
Eletrônicos,Filial 2,Lápis de sobrancelha,5.84,1,INDISPONIVEL
Roupas,Filial 10,Delineador líquido,18.88,25,INDISPONIVEL
Eletrônicos,Filial 8,Lápis de sobrancelha,40.34,37,INDISPONIVEL
Eletrodomésticos,Filial 4,Sombra de olhos,80.61,45,INDISPONIVEL
Eletrônicos,Filial 8,Lápis de sobrancelha,41.92,83,INDISPONIVEL
Eletrodomésticos,Filial 9,Corretivo,49.24,42,INDISPONIVEL
Roupas,Filial 4,Base líquida,37.93,35,INDISPONIVEL
Alimentos,Filial 3,Lápis de sobrancelha,24.28,73,INDISPONIVEL
Eletrodomésticos,Filial 2,Delineador líquido,28.68,24,INDISPONIVEL
Eletrônicos,Filial 1,Base líquida,90.32,65,INDISPONIVEL
Eletrodomésticos,Filial 3,Batom líquido,7.99,6,INDISPONIVEL
Eletrodomésticos,Filial 9,Base líquida,41.99,80,INDISPONIVEL
Roupas,Filial 8,Corretivo,14.31,95,INDISPONIVEL
Alimentos,Filial 3,Lápis de sobrancelha,58.45,19,INDISPONIVEL
Roupas,Filial 4,Delineador líquido,20.89,68,INDISPONIVEL
Eletrodomésticos,Filial 2,Pó compacto,64.0,28,INDISPONIVEL
Eletrodomésticos,Filial 3,Pó compacto,11.42,60,INDISPONIVEL
Eletrodomésticos,Filial 7,Batom líquido,72.36,61,INDISPONIVEL
Eletrônicos,Filial 10,Máscara de cílios,65.02,13,INDISPONIVEL
Eletrodomésticos,Filial 2,Pó compacto,75.26,11,INDISPONIVEL
Eletrodomésticos,Filial 3,Blush em pó,26.38,19,INDISPONIVEL
Eletrodomésticos,Filial 2,Corretivo,93.99,28,INDISPONIVEL
Eletrodomésticos,Filial 7,Delineador líquido,86.71,22,INDISPONIVEL
Alimentos,Filial 8,Pó compacto,26.53,78,INDISPONIVEL
Eletrônicos,Filial 6,Delineador líquido,17.06,19,INDISPONIVEL
Eletrodomésticos,Filial 8,Máscara de cílios,6.66,29,INDISPONIVEL
Roupas,Filial 10,Blush em pó,78.67,72,INDISPONIVEL
Eletrodomésticos,Filial 2,Base líquida,70.98,47,INDISPONIVEL
Roupas,Filial 2,Sombra de olhos,37.08,58,INDISPONIVEL
Roupas,Filial 8,Corretivo,93.9,96,INDISPONIVEL
Alimentos,Filial 7,Pó compacto,62.94,74,INDISPONIVEL
Alimentos,Filial 6,Blush em pó,84.91,23,INDISPONIVEL
Roupas,Filial 7,Batom matte,42.41,80,INDISPONIVEL
Alimentos,Filial 10,Lápis de sobrancelha,79.25,7,INDISPONIVEL
Eletrônicos,Filial 7,Corretivo,37.17,70,INDISPONIVEL
Roupas,Filial 4,Sombra de olhos,33.38,97,INDISPONIVEL
Eletrônicos,Filial 5,Lápis de sobrancelha,86.56,75,INDISPONIVEL
Eletrodomésticos,Filial 1,Batom líquido,80.83,15,INDISPONIVEL
Eletrônicos,Filial 8,Batom líquido,45.82,30,INDISPONIVEL
Eletrodomésticos,Filial 7,Batom matte,68.11,53,INDISPONIVEL
Eletrônicos,Filial 3,Batom matte,46.0,80,INDISPONIVEL
Roupas,Filial 6,Batom matte,48.87,37,INDISPONIVEL
